Stadium,Latitude,Longitude
M Chinnaswamy Stadium,12.97887342,77.59957375
Eden Gardens,22.56527428,88.34166397
Feroz Shah Kotla,28.6376577,77.2437703
Wankhede Stadium,18.9390456,72.82577472
"MA Chidambaram Stadium, Chepauk",13.06302119,80.279216
"Rajiv Gandhi International Stadium, Uppal",17.40676553,78.55047652
"Punjab Cricket Association Stadium, Mohali",30.69115654,76.737531
Sawai Mansingh Stadium,26.89417204,75.80335003
Subrata Roy Sahara Stadium,18.95518537,77.1254188
Dr DY Patil Sports Academy,18.65950954,73.69102452
Maharashtra Cricket Association Stadium,18.67477837,73.70649464
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket St...,17.79765297,83.3522276
Brabourne Stadium,18.9324743,72.82469648
"Sardar Patel Stadium, Motera",23.09193708,72.59748974
Himachal Pradesh Cricket Association Stadium,32.19781166,76.32580544
Saurashtra Cricket Association Stadium,22.36196919,70.70902952
Barabati Stadium,20.4809927,85.86849855
JSCA International Stadium Complex,23.31045697,85.2748345
Shaheed Veer Narayan Singh International Stadium,21.20362714,81.82388158
Holkar Cricket Stadium,22.72450169,75.87962461
Nehru Stadium,28.65951967,77.43952064
Green Park,28.7147397,77.41657695
"Vidarbha Cricket Association Stadium, Jamtha",21.01381737,79.03970545
